[nm];[A];
;Probe 1;
300.0;4.0115
300.1;4.0678
300.2;8.0000
300.3;3.6995
300.4;4.2394
300.5;3.6158
300.6;4.7006
300.7;4.2252
300.8;4.9074
300.9;3.6938
301.0;3.6120
301.1;3.5125
301.2;4.0133
301.3;4.0801
301.4;3.8452
301.5;8.0000
301.6;4.0018
301.7;3.8223
301.8;3.6392
301.9;3.9545
302.0;4.4087
302.1;8.0000
302.2;3.9917
302.3;3.9143
302.4;3.5096
302.5;8.0000
302.6;3.7650
302.7;8.0000
302.8;3.8514
302.9;8.0000
303.0;4.6558
303.1;8.0000
303.2;3.7393
303.3;8.0000
303.4;8.0000
303.5;4.3926
303.6;4.7612
303.7;8.0000
303.8;8.0000
303.9;3.6169
304.0;3.6382
304.1;8.0000
304.2;3.7456
304.3;4.0530
304.4;3.7887
304.5;4.2573
304.6;3.7553
304.7;3.8222
304.8;4.9855
304.9;8.0000
305.0;3.5203
305.1;8.0000
305.2;3.4919
305.3;3.4712
305.4;8.0000
305.5;3.6477
305.6;4.0680
305.7;8.0000
305.8;4.6385
305.9;8.0000
306.0;8.0000
306.1;4.7955
306.2;8.0000
306.3;8.0000
306.4;3.6235
306.5;3.8003
306.6;3.7978
306.7;4.1788
306.8;4.4111
306.9;3.9439
307.0;3.7086
307.1;8.0000
307.2;8.0000
307.3;3.3835
307.4;4.0373
307.5;8.0000
307.6;3.8021
307.7;3.5317
307.8;8.0000
307.9;8.0000
308.0;8.0000
308.1;3.6447
308.2;3.4274
308.3;4.7914
308.4;3.8001
308.5;8.0000
308.6;5.4039
308.7;5.0912
308.8;3.9626
308.9;3.6865
309.0;3.5337
309.1;8.0000
309.2;4.0276
309.3;4.1309
309.4;8.0000
309.5;4.5474
309.6;3.5193
309.7;8.0000
309.8;3.4995
309.9;8.0000
310.0;8.0000
310.1;8.0000
310.2;8.0000
310.3;3.8104
310.4;8.0000
310.5;8.0000
310.6;8.0000
310.7;3.8496
310.8;3.8738
310.9;3.5348
311.0;3.3649
311.1;4.0459
311.2;3.6613
311.3;3.6883
311.4;8.0000
311.5;8.0000
311.6;3.4033
311.7;8.0000
311.8;8.0000
311.9;3.8710
312.0;8.0000
312.1;8.0000
312.2;8.0000
312.3;8.0000
312.4;8.0000
312.5;3.6654
312.6;4.1404
312.7;3.5300
312.8;3.5529
312.9;8.0000
313.0;8.0000
313.1;4.1723
313.2;8.0000
313.3;8.0000
313.4;8.0000
313.5;4.2662
313.6;4.5347
313.7;8.0000
313.8;4.0449
313.9;4.1484
314.0;8.0000
314.1;8.0000
314.2;8.0000
314.3;8.0000
314.4;8.0000
314.5;8.0000
314.6;8.0000
314.7;8.0000
314.8;8.0000
314.9;8.0000
315.0;8.0000
315.1;8.0000
315.2;3.6601
315.3;8.0000
315.4;3.8145
315.5;3.6174
315.6;8.0000
315.7;8.0000
315.8;8.0000
315.9;8.0000
316.0;4.3998
316.1;8.0000
316.2;8.0000
316.3;3.7970
316.4;8.0000
316.5;8.0000
316.6;8.0000
316.7;8.0000
316.8;3.9082
316.9;8.0000
317.0;8.0000
317.1;8.0000
317.2;4.7630
317.3;8.0000
317.4;8.0000
317.5;4.4725
317.6;3.8363
317.7;4.2858
317.8;8.0000
317.9;8.0000
318.0;8.0000
318.1;8.0000
318.2;8.0000
318.3;3.5577
318.4;8.0000
318.5;4.3097
318.6;8.0000
318.7;4.3438
318.8;4.3948
318.9;3.5608
319.0;8.0000
319.1;8.0000
319.2;3.9839
319.3;8.0000
319.4;8.0000
319.5;8.0000
319.6;8.0000
319.7;4.5043
319.8;8.0000
319.9;4.3628
320.0;2.1326
320.1;1.9963
320.2;8.0000
320.3;2.1731
320.4;8.0000
320.5;8.0000
320.6;2.4100
320.7;8.0000
320.8;8.0000
320.9;2.1613
321.0;8.0000
321.1;2.4300
321.2;2.6322
321.3;2.0831
321.4;8.0000
321.5;2.2496
321.6;3.8485
321.7;2.1786
321.8;8.0000
321.9;2.1267
322.0;8.0000
322.1;8.0000
322.2;8.0000
322.3;8.0000
322.4;8.0000
322.5;2.9267
322.6;8.0000
322.7;8.0000
322.8;2.1839
322.9;8.0000
323.0;8.0000
323.1;8.0000
323.2;8.0000
323.3;8.0000
323.4;8.0000
323.5;8.0000
323.6;8.0000
323.7;8.0000
323.8;8.0000
323.9;8.0000
324.0;2.8429
324.1;8.0000
324.2;2.5488
324.3;8.0000
324.4;8.0000
324.5;2.4301
324.6;3.2062
324.7;8.0000
324.8;2.9814
324.9;8.0000
325.0;8.0000
325.1;2.6675
325.2;8.0000
325.3;3.3783
325.4;3.0393
325.5;8.0000
325.6;8.0000
325.7;3.2907
325.8;8.0000
325.9;2.7442
326.0;8.0000
326.1;8.0000
326.2;8.0000
326.3;8.0000
326.4;8.0000
326.5;3.6243
326.6;8.0000
326.7;8.0000
326.8;3.3361
326.9;2.1947
327.0;2.3816
327.1;8.0000
327.2;8.0000
327.3;2.3335
327.4;8.0000
327.5;8.0000
327.6;8.0000
327.7;8.0000
327.8;2.6086
327.9;3.1561
328.0;4.1810
328.1;8.0000
328.2;8.0000
328.3;2.2669
328.4;2.1928
328.5;2.4866
328.6;8.0000
328.7;2.7761
328.8;8.0000
328.9;3.5899
329.0;8.0000
329.1;2.4175
329.2;8.0000
329.3;3.3166
329.4;3.0737
329.5;2.6649
329.6;8.0000
329.7;8.0000
329.8;8.0000
329.9;8.0000
330.0;2.8506
330.1;2.3249
330.2;8.0000
330.3;2.9970
330.4;8.0000
330.5;2.8302
330.6;4.3179
330.7;8.0000
330.8;8.0000
